0	0	-276,4		0	-27640
100	0	-276,14	0	-27614
200	0	-276,14	0	-27614
300	0	-276,14	0	-27614
400	0	-274,55	0	-27455
500	0	-274,55	0	-27455
600	0	-274,55	0	-27455
700	0	-271,8		0	-27180
800	0	-271,8		0	-27180
900	0	-269,91	0	-26991
1000	0	-269,91	0	-26991
1100	0	-269,91	0	-26991
1200	0	-270,55	0	-27055
1300	0	-270,55	0	-27055
1400	0	-270,55	0	-27055
1500	0	-273,53	0	-27353
1600	0	-273,53	0	-27353
1700	0	-273,53	0	-27353
1800	0	-277,15	0	-27715
1900	0	-277,15	0	-27715
2000	0	-277,15	0	-27715
2100	0	-280,58	0	-28058
2200	0	-280,58	0	-28058
2300	0	-280,58	0	-28058
2400	0	-283,63	0	-28363
2500	0	-283,63	0	-28363
2600	0	-286,29	0	-28629
2700	0	-286,29	0	-28629
2800	0	-286,29	0	-28629
2900	0	-289,54	0	-28954
3000	0	-289,54	0	-28954
3100	0	-289,54	0	-28954
3200	0	-292,31	0	-29231
3300	0	-292,31	0	-29231
3400	0	-292,31	0	-29231
3500	0	-294,18	0	-29418
3600	0	-294,18	0	-29418
3700	0	-294,18	0	-29418
3800	0	-294,28	0	-29428
3900	0	-294,28	0	-29428
4000	0	-294,28	0	-29428
4100	0	-292,98	0	-29298
4200	0	-292,98	0	-29298
4300	0	-291,52	0	-29152
4400	0	-291,52	0	-29152
4500	0	-291,52	0	-29152
4600	0	-290,18	0	-29018
4700	0	-290,18	0	-29018
4800	0	-290,18	0	-29018
4900	0	-288,78	0	-28878
5000	0	-288,78	0	-28878
0	100	-276,33	10000	-27633
100	100	-276,05	10000	-27605
200	100	-276,05	10000	-27605
300	100	-275,46	10000	-27546
400	100	-275,46	10000	-27546
500	100	-275,46	10000	-27546
600	100	-274,26	10000	-27426
700	100	-274,26	10000	-27426
800	100	-274,26	10000	-27426
900	100	-273,34	10000	-27334
1000	100	-273,34	10000	-27334
1100	100	-273,34	10000	-27334
1200	100	-273,77	10000	-27377
1300	100	-273,77	10000	-27377
1400	100	-273,77	10000	-27377
1500	100	-275,61	10000	-27561
1600	100	-275,61	10000	-27561
1700	100	-275,61	10000	-27561
1800	100	-277,89	10000	-27789
1900	100	-277,89	10000	-27789
2000	100	-281,02	10000	-28102
2100	100	-281,02	10000	-28102
2200	100	-281,02	10000	-28102
2300	100	-284,74	10000	-28474
2400	100	-284,74	10000	-28474
2500	100	-284,74	10000	-28474
2600	100	-288,19	10000	-28819
2700	100	-288,19	10000	-28819
2800	100	-288,19	10000	-28819
2900	100	-291,05	10000	-29105
3000	100	-291,05	10000	-29105
3100	100	-291,05	10000	-29105
3200	100	-293,63	10000	-29363
3300	100	-293,63	10000	-29363
3400	100	-295,28	10000	-29528
3500	100	-295,28	10000	-29528
3600	100	-295,28	10000	-29528
3700	100	-295,38	10000	-29538
3800	100	-295,38	10000	-29538
3900	100	-295,38	10000	-29538
4000	100	-294,19	10000	-29419
4100	100	-294,19	10000	-29419
4200	100	-294,19	10000	-29419
4300	100	-292,6	10000	-29260
4400	100	-292,6	10000	-29260
4500	100	-292,6	10000	-29260
4600	100	-291,1	10000	-29110
4700	100	-291,1	10000	-29110
4800	100	-291,1	10000	-29110
4900	100	-289,95	10000	-28995
5000	100	-289,95	10000	-28995
0	200	-278,51	20000	-27851
100	200	-278,51	20000	-27851
200	200	-278,51	20000	-27851
300	200	-277,83	20000	-27783
400	200	-277,83	20000	-27783
500	200	-277,83	20000	-27783
600	200	-276,01	20000	-27601
700	200	-276,01	20000	-27601
800	200	-276,01	20000	-27601
900	200	-274,37	20000	-27437
1000	200	-274,37	20000	-27437
1100	200	-274,23	20000	-27423
1200	200	-274,23	20000	-27423
1300	200	-274,23	20000	-27423
1400	200	-276,08	20000	-27608
1500	200	-276,08	20000	-27608
1600	200	-276,08	20000	-27608
1700	200	-278,77	20000	-27877
1800	200	-278,77	20000	-27877
1900	200	-278,77	20000	-27877
2000	200	-281,25	20000	-28125
2100	200	-281,25	20000	-28125
2200	200	-281,25	20000	-28125
2300	200	-283,37	20000	-28337
2400	200	-283,37	20000	-28337
2500	200	-285,92	20000	-28592
2600	200	-285,92	20000	-28592
2700	200	-285,92	20000	-28592
2800	200	-288,62	20000	-28862
2900	200	-288,62	20000	-28862
3000	200	-288,62	20000	-28862
3100	200	-291,21	20000	-29121
